method,bin_left,n_pairs_true,n_pairs_method,LD_true,LD_method,abs_error,sq_error
Truth,1.0,150,150,0.3932671634737549,0.3902776876882582,0.002989475785496687,8.936965472071033e-06
Truth,2.077615789257862,92,92,0.3542910932504834,0.3532089894160702,0.0010821038344132061,1.1709487084517635e-06
Truth,4.3164873677735685,155,155,0.2998547035368558,0.30248288914781735,0.0026281856109615642,6.9073596056654105e-06
Truth,8.968002309418473,317,317,0.27154547797303014,0.27229138065443753,0.0007459026814073955,5.563708101307425e-07
Truth,18.632063196148792,692,692,0.2724780337277637,0.27355109631125496,0.0010730625834912688,1.1514633080889562e-06
Truth,38.710268682769026,1353,1353,0.2575343344619805,0.25695435748135953,0.0005799769806209554,3.3637329805020003e-07
Truth,80.42506542173508,2697,2697,0.2578154691499677,0.25846517316969,0.0006497040197222526,4.2211531324325316e-07
Truth,167.09238577229337,5479,5479,0.24296694633549212,0.2430122924003482,4.5346064856066626e-05,2.0562655979306007e-09
Truth,347.15377894528234,11024,11024,0.23145116278486783,0.2318548697974683,0.00040370701260047936,1.629793520228036e-07
Truth,721.2521724372519,21716,21716,0.22210517935332919,0.22262325681733205,0.0005180774640028696,2.684042587076446e-07
Truth,1498.4849014921683,43677,43677,0.18907741422778784,0.18972483608570867,0.0006474218579208268,4.191550621136553e-07
Truth,3113.275891304643,89147,89147,0.14558667120569563,0.14605199463183877,0.00046532342614313826,2.1652589091758866e-07
Truth,6468.191148090369,179664,179664,0.10037924237768868,0.10049805287761489,0.00011881049992620851,1.4115934892715592e-08
Truth,13438.416057210485,360895,360895,0.05599666945910068,0.056181417555179386,0.00018474809607870596,3.4131859004706766e-08
Truth,27919.865383076907,709422,709422,0.028556791107072287,0.028628216366391325,7.142525931903843e-05,5.101567668791885e-09
Truth,58006.753153834514,1402915,1402915,0.013295673379538043,0.012578488938241929,0.0007171844412961134,5.143535228372183e-07
Truth,120515.74623598997,2681419,2681419,0.006303509461196489,0.005502357489817213,0.0008011519713792756,6.418444812448996e-07
Truth,250385.4172340867,3887041,3887041,0.0045536622171898,0.0035192384117305256,0.0010344238054592744,1.0700326093008468e-06
Truth,520204.6962454554,4156960,4156960,0.005180026997991586,0.004344213993311131,0.0008358130046804552,6.985833787929706e-07
Truth,1080785.490565649,8195495,8195495,0.004414762914135386,0.0035664919834592574,0.000848270930676129,7.19563571830146e-07
Indep,1.0,150,150,0.3932671634737549,0.00020384002030392776,0.39306332345345096,0.15449877624427222
Indep,2.077615789257862,92,92,0.3542910932504834,0.00018257835711751175,0.3541085148933659,0.12539284031998515
Indep,4.3164873677735685,155,155,0.2998547035368558,0.00016660694830830354,0.2996880965885475,0.08981295523686658
Indep,8.968002309418473,317,317,0.27154547797303014,0.00020879517612220494,0.2713366827969079,0.07362359543122983
Indep,18.632063196148792,692,692,0.2724780337277637,0.00019956557534656595,0.27227846815241713,0.07413556421942682
Indep,38.710268682769026,1353,1353,0.2575343344619805,0.00025531808050939866,0.2572790163814711,0.06619249227021727
Indep,80.42506542173508,2697,2697,0.2578154691499677,0.00018642175799946746,0.25762904739196824,0.06637272606009302
Indep,167.09238577229337,5479,5479,0.24296694633549212,0.0001958343805006556,0.24277111195499146,0.058937812799862994
Indep,347.15377894528234,11024,11024,0.23145116278486783,0.00020178820397603832,0.2312493745808918,0.0534762732440536
Indep,721.2521724372519,21716,21716,0.22210517935332919,0.0001943009502797614,0.22191087840304943,0.04924443795361299
Indep,1498.4849014921683,43677,43677,0.18907741422778784,0.00019847975521336295,0.18887893447257448,0.03567525188749508
Indep,3113.275891304643,89147,89147,0.14558667120569563,0.00019967236426174958,0.14538699884143388,0.0211373794321191
Indep,6468.191148090369,179664,179664,0.10037924237768868,0.00020098535126501557,0.10017825702642366,0.010035683180852201
Indep,13438.416057210485,360895,360895,0.05599666945910068,0.00019943080408585213,0.055797238655014826,0.0031133318415246807
Indep,27919.865383076907,709422,709422,0.028556791107072287,0.00019875491094203493,0.02835803619613025,0.0008041782169010335
Indep,58006.753153834514,1402915,1402915,0.013295673379538043,0.0001999940231220777,0.013095679356415965,0.00017149681780605927
Indep,120515.74623598997,2681419,2681419,0.006303509461196489,0.0001998586589212583,0.00610365080227523,3.725455311611506e-05
Indep,250385.4172340867,3887041,3887041,0.0045536622171898,0.00019958306460786908,0.004354079152581931,1.8958005266948587e-05
Indep,520204.6962454554,4156960,4156960,0.005180026997991586,0.00019944000260391768,0.0049805869953876685,2.4806246818624762e-05
Indep,1080785.490565649,8195495,8195495,0.004414762914135386,0.00019990529053684074,0.004214857623598546,1.7765024787206782e-05
Markov,1.0,150,150,0.3932671634737549,0.388386764902876,0.004880398570878908,2.3818290210636885e-05
Markov,2.077615789257862,92,92,0.3542910932504834,0.35230624109549025,0.0019848521549931664,3.939638077181016e-06
Markov,4.3164873677735685,155,155,0.2998547035368558,0.291959820666272,0.007894882870583764,6.232917554023693e-05
Markov,8.968002309418473,317,317,0.27154547797303014,0.24693126154915007,0.024614216423880064,0.0006058596501616071
Markov,18.632063196148792,692,692,0.2724780337277637,0.22974132139453296,0.04273671233323073,0.0018264265810533156
Markov,38.710268682769026,1353,1353,0.2575343344619805,0.1896472391153744,0.06788709534660609,0.004608657714599186
Markov,80.42506542173508,2697,2697,0.2578154691499677,0.13255170024057164,0.12526376890939608,0.015691011801386583
Markov,167.09238577229337,5479,5479,0.24296694633549212,0.07339088142201275,0.16957606491347937,0.02875604179154057
Markov,347.15377894528234,11024,11024,0.23145116278486783,0.02354212229487048,0.20790904048999734,0.043226169117471354
Markov,721.2521724372519,21716,21716,0.22210517935332919,0.004392334512258174,0.217712844841071,0.04739888280879226
Markov,1498.4849014921683,43677,43677,0.18907741422778784,0.0009532370924943792,0.18812417713529347,0.03539070602283128
Markov,3113.275891304643,89147,89147,0.14558667120569563,0.000791618885645288,0.14479505232005033,0.02096560717636611
Markov,6468.191148090369,179664,179664,0.10037924237768868,0.0007943225535633724,0.0995849198241253,0.009917156256377464
Markov,13438.416057210485,360895,360895,0.05599666945910068,0.0007850039626973576,0.05521166549640332,0.003048328006886733
Markov,27919.865383076907,709422,709422,0.028556791107072287,0.000783433087146621,0.027773358019925667,0.0007713594157029693
Markov,58006.753153834514,1402915,1402915,0.013295673379538043,0.0007832147942738267,0.012512458585264216,0.0001565616198479522
Markov,120515.74623598997,2681419,2681419,0.006303509461196489,0.0007841422774130666,0.005519367183783422,3.0463414109425346e-05
Markov,250385.4172340867,3887041,3887041,0.0045536622171898,0.0007831583402087018,0.003770503876981098,1.4216699486329492e-05
Markov,520204.6962454554,4156960,4156960,0.005180026997991586,0.0007830528275492897,0.004396974170442296,1.933338185553672e-05
Markov,1080785.490565649,8195495,8195495,0.004414762914135386,0.0007829414679806183,0.003631821446154768,1.319012701674971e-05
HMM,1.0,150,150,0.3932671634737549,0.3763000730829785,0.016967090390776374,0.000287882156328776
HMM,2.077615789257862,92,92,0.3542910932504834,0.3496683789541366,0.004622714296346808,2.1369487465649167e-05
HMM,4.3164873677735685,155,155,0.2998547035368558,0.29821173216317615,0.0016429713736796359,2.6993549347307495e-06
HMM,8.968002309418473,317,317,0.27154547797303014,0.26862542273381207,0.0029200552392180668,8.526722600084882e-06
HMM,18.632063196148792,692,692,0.2724780337277637,0.2700709404311437,0.0024070932966199776,5.794098138632832e-06
HMM,38.710268682769026,1353,1353,0.2575343344619805,0.25431722262316,0.0032171118388205078,1.0349808583479068e-05
HMM,80.42506542173508,2697,2697,0.2578154691499677,0.2556139323104599,0.0022015368395078005,4.846764455709995e-06
HMM,167.09238577229337,5479,5479,0.24296694633549212,0.24004228530459368,0.0029246610308984455,8.553642145655959e-06
HMM,347.15377894528234,11024,11024,0.23145116278486783,0.2265364466620905,0.0049147161227773295,2.4154434567487426e-05
HMM,721.2521724372519,21716,21716,0.22210517935332919,0.2099608659465812,0.012144313406747986,0.00014748434812131888
HMM,1498.4849014921683,43677,43677,0.18907741422778784,0.16019830523786643,0.02887910898992141,0.0008340029360517596
HMM,3113.275891304643,89147,89147,0.14558667120569563,0.09520338748130493,0.0503832837243907,0.002538475278852453
HMM,6468.191148090369,179664,179664,0.10037924237768868,0.036100664816506596,0.06427857756118208,0.0041317355332889
HMM,13438.416057210485,360895,360895,0.05599666945910068,0.006719759420368011,0.04927691003873267,0.0024282138629653526
HMM,27919.865383076907,709422,709422,0.028556791107072287,0.0007354833533554277,0.02782130775371686,0.0007740251651270259
HMM,58006.753153834514,1402915,1402915,0.013295673379538043,0.0005343150323060023,0.01276135834723204,0.00016285226686646887
HMM,120515.74623598997,2681419,2681419,0.006303509461196489,0.0005420162145442815,0.005761493246652207,3.3194804431218985e-05
HMM,250385.4172340867,3887041,3887041,0.0045536622171898,0.000537415738743673,0.004016246478446127,1.6130235775630915e-05
HMM,520204.6962454554,4156960,4156960,0.005180026997991586,0.0005028184285389632,0.004677208569452623,2.187628000216105e-05
HMM,1080785.490565649,8195495,8195495,0.004414762914135386,0.0005413477944249124,0.003873415119710474,1.5003344689601706e-05
WGAN,1.0,150,150,0.3932671634737549,0.2738538692588429,0.11941329421491198,0.014259534835257132
WGAN,2.077615789257862,92,92,0.3542910932504834,0.29461622709774277,0.05967486615274065,0.0035610896503475114
WGAN,4.3164873677735685,155,155,0.2998547035368558,0.25781975846844457,0.04203494506841121,0.001766936606904348
WGAN,8.968002309418473,317,317,0.27154547797303014,0.23780905175159475,0.033736426221435384,0.001138146454194353
WGAN,18.632063196148792,692,692,0.2724780337277637,0.2472739316556691,0.025204102072094586,0.0006352467612605626
WGAN,38.710268682769026,1353,1353,0.2575343344619805,0.22625687565139171,0.03127745881058877,0.0009782794296480772
WGAN,80.42506542173508,2697,2697,0.2578154691499677,0.2297810792249621,0.02803438992500562,0.0007859270184672567
WGAN,167.09238577229337,5479,5479,0.24296694633549212,0.2146856311957542,0.028281315139737917,0.0007998327860331691
WGAN,347.15377894528234,11024,11024,0.23145116278486783,0.20397142386153977,0.027479738923328056,0.000755136051294271
WGAN,721.2521724372519,21716,21716,0.22210517935332919,0.19718166533761794,0.024923514015711246,0.0006211815508913549
WGAN,1498.4849014921683,43677,43677,0.18907741422778784,0.16821667861521294,0.0208607356125749,0.00043517029029775065
WGAN,3113.275891304643,89147,89147,0.14558667120569563,0.13087932982633277,0.01470734137936286,0.000216305890449119
WGAN,6468.191148090369,179664,179664,0.10037924237768868,0.09136954893892636,0.009009693438762317,8.117457586047675e-05
WGAN,13438.416057210485,360895,360895,0.05599666945910068,0.052164718310738746,0.003831951148361934,1.4683849603432344e-05
WGAN,27919.865383076907,709422,709422,0.028556791107072287,0.02779312965405201,0.0007636614530202764,5.831788148290397e-07
WGAN,58006.753153834514,1402915,1402915,0.013295673379538043,0.012470200498621213,0.0008254728809168298,6.814054771291306e-07
WGAN,120515.74623598997,2681419,2681419,0.006303509461196489,0.005580776736021952,0.000722732725174537,5.223425920382128e-07
WGAN,250385.4172340867,3887041,3887041,0.0045536622171898,0.003793780833052515,0.0007598813841372849,5.77419717958396e-07
WGAN,520204.6962454554,4156960,4156960,0.005180026997991586,0.003969821324895343,0.0012102056730962426,1.4645977711943297e-06
WGAN,1080785.490565649,8195495,8195495,0.004414762914135386,0.003473997456625904,0.0009407654575094822,8.850396460430254e-07
RBM,1.0,150,150,0.3932671634737549,0.28293678580857334,0.11033037766518156,0.012172792235741593
RBM,2.077615789257862,92,92,0.3542910932504834,0.3045774019398668,0.04971369131061659,0.002471451103727276
RBM,4.3164873677735685,155,155,0.2998547035368558,0.26514957931270716,0.03470512422414862,0.0012044456474135873
RBM,8.968002309418473,317,317,0.27154547797303014,0.2443417641978426,0.027203713775187544,0.0007400420431623285
RBM,18.632063196148792,692,692,0.2724780337277637,0.25093566802877715,0.021542365698986543,0.000464073519908872
RBM,38.710268682769026,1353,1353,0.2575343344619805,0.2359507026863601,0.021583631775620393,0.0004658531606255703
RBM,80.42506542173508,2697,2697,0.2578154691499677,0.23848218718293365,0.01933328196703407,0.00037377579161684485
RBM,167.09238577229337,5479,5479,0.24296694633549212,0.22473779191463378,0.018229154420858346,0.00033230207089949936
RBM,347.15377894528234,11024,11024,0.23145116278486783,0.21477946330531814,0.01667169947954969,0.0002779455635364174
RBM,721.2521724372519,21716,21716,0.22210517935332919,0.20880923257572986,0.013295946777599321,0.00017678220071275377
RBM,1498.4849014921683,43677,43677,0.18907741422778784,0.17879851992429496,0.01027889430349288,0.00010565566810237838
RBM,3113.275891304643,89147,89147,0.14558667120569563,0.13851608538425292,0.00707058582144271,4.999318385838668e-05
RBM,6468.191148090369,179664,179664,0.10037924237768868,0.09585103044457305,0.004528211933115631,2.0504703311210796e-05
RBM,13438.416057210485,360895,360895,0.05599666945910068,0.05328046045133934,0.0027162090077613374,7.377791373843829e-06
RBM,27919.865383076907,709422,709422,0.028556791107072287,0.02691924386709395,0.0016375472399783354,2.681560963160664e-06
RBM,58006.753153834514,1402915,1402915,0.013295673379538043,0.011786073324859796,0.0015096000546782461,2.278892325084564e-06
RBM,120515.74623598997,2681419,2681419,0.006303509461196489,0.005166802488700222,0.001136706972496267,1.2921027413216292e-06
RBM,250385.4172340867,3887041,3887041,0.0045536622171898,0.003342540255867248,0.0012111219613225518,1.4668164051977847e-06
RBM,520204.6962454554,4156960,4156960,0.005180026997991586,0.004029168528081786,0.0011508584699097997,1.3244752177631254e-06
RBM,1080785.490565649,8195495,8195495,0.004414762914135386,0.003417810631093393,0.0009969522830419932,9.939138546626425e-07
PC,1.0,150,150,0.3932671634737549,0.38390233567240484,0.009364827801350062,8.769999974893903e-05
PC,2.077615789257862,92,92,0.3542910932504834,0.3477953618852752,0.006495731365208202,4.2194525968949604e-05
PC,4.3164873677735685,155,155,0.2998547035368558,0.2948549149849825,0.004999788551873274,2.4997885563443053e-05
PC,8.968002309418473,317,317,0.27154547797303014,0.26647241854550363,0.005073059427526505,2.573593195521555e-05
PC,18.632063196148792,692,692,0.2724780337277637,0.26635838019013697,0.006119653537626724,3.7450159420587275e-05
PC,38.710268682769026,1353,1353,0.2575343344619805,0.25077668365018657,0.006757650811793914,4.566584449413894e-05
PC,80.42506542173508,2697,2697,0.2578154691499677,0.2522007160194855,0.0056147531304822085,3.152545271625976e-05
PC,167.09238577229337,5479,5479,0.24296694633549212,0.23605981113714164,0.006907135198350484,4.770851664829217e-05
PC,347.15377894528234,11024,11024,0.23145116278486783,0.22496067626631702,0.006490486518550803,4.2126415247489723e-05
PC,721.2521724372519,21716,21716,0.22210517935332919,0.21643960785493102,0.005665571498398164,3.209870040346162e-05
PC,1498.4849014921683,43677,43677,0.18907741422778784,0.18342710802175236,0.005650306206035488,3.192596022196315e-05
PC,3113.275891304643,89147,89147,0.14558667120569563,0.14005310931447165,0.005533561891223976,3.062030720400627e-05
PC,6468.191148090369,179664,179664,0.10037924237768868,0.0945448579392913,0.005834384438397386,3.404004177501358e-05
PC,13438.416057210485,360895,360895,0.05599666945910068,0.05065649040726555,0.005340179051835127,2.8517512305658716e-05
PC,27919.865383076907,709422,709422,0.028556791107072287,0.02402966617413556,0.004527124932936728,2.0494860158417377e-05
PC,58006.753153834514,1402915,1402915,0.013295673379538043,0.008964270849663584,0.004331402529874458,1.876104787580286e-05
PC,120515.74623598997,2681419,2681419,0.006303509461196489,0.002990467589674845,0.0033130418715216436,1.0976246442455635e-05
PC,250385.4172340867,3887041,3887041,0.0045536622171898,0.0013111696606233905,0.0032424925565664097,1.0513757979388572e-05
PC,520204.6962454554,4156960,4156960,0.005180026997991586,0.0022437002545256553,0.0029363267434659307,8.622014744393238e-06
PC,1080785.490565649,8195495,8195495,0.004414762914135386,0.0017549977918905125,0.0026597651222448736,7.074350505510287e-06
